title,mc_score,release,mc_url,steam_url
The Lord of the Rings: The Return of the King,78,2003-10-31,http://www.metacritic.com/game/pc/the-lord-of-the-rings-the-return-of-the-king,
Awesomenauts,78,2012-04-10,http://www.metacritic.com/game/pc/awesomenauts,http://store.steampowered.com/app/204300
Samurai Gunn,78,2013-12-10,http://www.metacritic.com/game/pc/samurai-gunn,http://store.steampowered.com/app/239090
GRID Autosport,78,2014-06-15,http://www.metacritic.com/game/pc/grid-autosport,http://store.steampowered.com/app/255220
LEGO MARVEL Super Heroes,78,2013-10-22,http://www.metacritic.com/game/pc/lego-marvel-super-heroes,http://store.steampowered.com/app/249130
DeathSpank,77,2010-10-25,http://www.metacritic.com/game/pc/deathspank,http://store.steampowered.com/app/18040/
THE KING OF FIGHTERS XIII STEAM EDITION,77,2013-09-13,http://www.metacritic.com/game/pc/the-king-of-fighters-xiii-steam-edition,http://store.steampowered.com/app/222940
Hamilton's Great Adventur,77,2011-05-31,http://www.metacritic.com/game/pc/hamiltons-great-adventure,http://store.steampowered.com/app/42140
Child of Light,77,2014-04-29,http://www.metacritic.com/game/pc/child-of-light,http://store.steampowered.com/app/256290
Insanely Twisted Shadow Planet,76,2012-04-17,http://www.metacritic.com/game/pc/insanely-twisted-shadow-planet,http://store.steampowered.com/app/205730
Renegade Ops,76,2011-10-26,http://www.metacritic.com/game/pc/renegade-ops,http://store.steampowered.com/app/99300
Din's Curse,76,2010-03-03,http://www.metacritic.com/game/pc/dins-curse,http://www.metacritic.com/game/pc/dins-curse
Rocksmith,76,2012-10-20,http://www.metacritic.com/game/pc/rocksmith,http://store.steampowered.com/app/205190
Community Hub Geometry Wars 3: Dimensions,76,2014-11-25,http://www.metacritic.com/game/pc/geometry-wars-retro-evolved,http://store.steampowered.com/app/310790/?snr=1_7_7_230_150_1
Tobe's Vertical Adventure,75,2011-07-18,http://www.metacritic.com/game/pc/tobes-vertical-adventure,http://store.steampowered.com/app/105700
Ring Runner: Flight of the Sages,75,2013-07-09,http://www.metacritic.com/game/pc/ring-runner-flight-of-the-sages,http://store.steampowered.com/app/258010
Shadowgrounds,74,2006-04-25,http://www.metacritic.com/game/pc/shadowgrounds,http://store.steampowered.com/app/2500/
Magicka,74,2011-01-25,http://www.metacritic.com/game/pc/magicka,http://store.steampowered.com/app/42910/
Trackmania,74,2004-07-08,http://www.metacritic.com/game/pc/trackmania,http://store.steampowered.com/app/7200/
Sega Rally Revo,74,2007-11-19,http://www.metacritic.com/game/pc/sega-rally-revo,
Serious Sam 2,74,2005-01-31,http://www.metacritic.com/game/pc/serious-sam-ii,http://store.steampowered.com/app/204340
Rocketbirds: Hardboiled Chicken,74,2012-10-15,http://www.metacritic.com/game/pc/rocketbirds-hardboiled-chicken,http://store.steampowered.com/app/215510
Rock of Ages,74,2011-09-07,http://www.metacritic.com/game/pc/rock-of-ages,http://store.steampowered.com/app/22230
Worms Clan Wars,74,2013-08-15,http://www.metacritic.com/game/pc/worms-clan-wars,http://store.steampowered.com/app/233840
You don't know Jack,73,2011-02-08,http://www.metacritic.com/game/pc/you-dont-know-jack-2011,http://store.steampowered.com/app/99200/
Guilty Gear Isuka,73,2004-11-02,http://www.metacritic.com/game/playstation-2/guilty-gear-isuka,http://store.steampowered.com/app/267900/?snr=1_237_151__103_1
Blood Bowl: Legendary Edition,73,2010-10-28,http://www.metacritic.com/game/pc/blood-bowl-legendary-edition,http://store.steampowered.com/app/58520/
Shank 2,73,2012-02-07,http://www.metacritic.com/game/pc/shank-2,http://store.steampowered.com/app/102840
Castle Storm,73,2013-07-29,http://www.metacritic.com/game/pc/castlestorm,http://store.steampowered.com/app/241410
LEGO® Pirates of the Caribbean,73,2011-05-24,http://www.metacritic.com/game/pc/lego-pirates-of-the-caribbean-the-video-game,http://store.steampowered.com/app/311770
Toy Story 3,73,2010-06-15,http://www.metacritic.com/game/pc/toy-story-3,http://store.steampowered.com/app/300820
Blood Bowl,72,2009-11-25,http://www.metacritic.com/game/pc/blood-bowl,http://store.steampowered.com/app/11170/
Serious Sam 3: BFE,72,2011-11-22,http://www.metacritic.com/game/pc/serious-sam-3-bfe,http://store.steampowered.com/app/41070
Skulls of the Shogun,72,2013-07-29,http://www.metacritic.com/game/pc/skulls-of-the-shogun,http://store.steampowered.com/app/228960
Foul Play,72,2013-09-18,http://www.metacritic.com/game/pc/foul-play/critic-reviewshttp://www.metacritic.com/game/pc/foul-pla,http://store.steampowered.com/app/244810
Hammerwatch,72,2013-08-12,http://www.metacritic.com/game/pc/hammerwatch,http://store.steampowered.com/app/239070/?snr=1_7_7_230_150_1
Phantom Breaker: Battle Grounds,72,2015-01-23,http://www.metacritic.com/game/pc/phantom-breaker-battle-grounds,http://store.steampowered.com/app/329490
Sideway New York,71,2011-11-15,http://www.metacritic.com/game/pc/sideway-new-york,http://store.steampowered.com/app/200190
Resident Evil 6 / Biohazard 6,71,2013-03-22,http://www.metacritic.com/game/pc/resident-evil-6,http://store.steampowered.com/app/221040
Fist Puncher,71,2013-06-21,http://www.metacritic.com/game/pc/fist-puncher,http://store.steampowered.com/app/238630
Toy Soldiers: Complete,71,2014-02-28,http://www.metacritic.com/game/pc/toy-soldiers,http://store.steampowered.com/app/262120
Beat Hazard,70,2010-04-15,http://www.metacritic.com/game/pc/beat-hazard,http://store.steampowered.com/app/49600/
Thunder Wolves,70,2013-05-15,http://www.metacritic.com/game/pc/thunder-wolves,http://store.steampowered.com/app/232970/
Cloudberry Kingdom,70,2013-08-08,http://www.metacritic.com/game/pc/cloudberry-kingdom,http://store.steampowered.com/app/214770
Abyss Odyssey,70,2014-07-15,http://www.metacritic.com/game/pc/abyss-odyssey,http://store.steampowered.com/agecheck/app/255070/
Magic: The Gathering,69,2010-06-15,http://www.metacritic.com/game/pc/magic-the-gathering---duels-of-the-planeswalkers,http://store.steampowered.com/app/49400/
The Golf Club,69,2014-08-19,http://www.metacritic.com/game/pc/the-golf-club,http://store.steampowered.com/app/269730
Megabyte Punch,69,2013-10-15,http://www.metacritic.com/game/pc/megabyte-punch,http://store.steampowered.com/app/248550
