title,mc_score,release,mc_url,steam_url
Luxuria Superbia,,2013-11-05,http://www.metacritic.com/game/pc/luxuria-superbia,http://store.steampowered.com/app/269150
Dominions 4,,2013-12-05,http://www.metacritic.com/game/pc/dominions-4-thrones-of-ascension,http://store.steampowered.com/app/259060
Young Justice: Legacy,,2013-11-19,http://www.metacritic.com/game/pc/young-justice-legacy,http://store.steampowered.com/app/235760
"""Adventure Time: Explore the Dungeon Because I DON",,2013-11-19,http://www.metacritic.com/game/pc,http://www.metacritic.com/game/pc/adventure-time-explore-the-dungeon-because-i-dont-know!
Bombsquad,,2011-10-01,http://www.froemling.net/apps/bombsquad,http://www.froemling.net/apps/bombsquad
MX vs. ATV Supercross Encore Edition,,2014-10-31,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/282050
Orborun,,2014-09-05,http://www.metacritic.com/game/pc/orborun,http://store.steampowered.com/app/308580
The Expendabros,,2014-09-05,http://www.metacritic.com/game/pc/the-expendabros---broforce-the-expendables-missions,http://store.steampowered.com/app/312990
Super Motherload,,2013-11-15,http://www.metacritic.com/game/pc/super-motherload,http://store.steampowered.com/app/269110
Zooloretto,,2011-11-01,http://www.metacritic.com/game/pc/zooloretto,http://store.steampowered.com/app/283450
Fight The Dragon,,2014-03-27,http://www.metacritic.com/game/pc/fight-the-dragon,http://store.steampowered.com/app/250560
Broforce,,2014-04-07,http://www.metacritic.com/game/pc/broforce,http://store.steampowered.com/app/274190
T.E.C. 3001,,2014-04-10,http://www.metacritic.com/game/pc/tec-3001,http://store.steampowered.com/app/280910
Starlight Inception,,2014-04-22,http://www.metacritic.com/game/pc/starlight-inception,http://store.steampowered.com/app/250720/
Croixleur Sigma,,2014-04-30,http://www.metacritic.com/game/pc/croixleur-sigma,http://store.steampowered.com/app/250640
Brawlhalla,,2014-04-30,http://www.metacritic.com/game/pc/brawlhalla,http://store.steampowered.com/app/291550
ROCKETSROCKETSROCKETS,,2014-05-02,http://www.metacritic.com/game/pc/rocketsrocketsrockets,http://store.steampowered.com/app/289760
Indie Graphics Builder,,2014-05-05,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/281900
Tango Fiesta,,2014-05-31,http://www.metacritic.com/game/pc/tango-fiesta,http://store.steampowered.com/app/276730
Chaos Domain,,2014-05-01,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/287100
Organic Panic,,2014-05-14,http://www.metacritic.com/game/pc/organic-panic,http://store.steampowered.com/app/282740
Orc Attack: Flatulent Rebellion,,2014-05-15,http://www.metacritic.com/game/pc/orc-attack-flatulent-rebellion,http://store.steampowered.com/app/268520
Small World 2,,2014-05-11,http://www.metacritic.com/game/pc/small-world-2,http://store.steampowered.com/app/235620
Chompy Chomp Chomp,,2014-05-16,http://www.metacritic.com/game/pc/chompy-chomp-chomp,http://store.steampowered.com/app/292570
Ascendant,,2014-05-13,http://www.metacritic.com/game/pc/ascendant,http://store.steampowered.com/app/296930
DYNASTY WARRIORS 8: Xtreme Legends Complete Editio,,2014-05-13,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/278080
Retro Game Crunch,,2014-05-19,http://www.metacritic.com/game/pc/retro-game-crunch,http://store.steampowered.com/app/290040
Foosball - Street Edition,,2014-04-16,http://www.metacritic.com/game/pc/foosball---street-edition,http://store.steampowered.com/app/280830
Tetrapulse,,2014-08-07,http://www.metacritic.com/game/pc/tetrapulse,http://store.steampowered.com/app/250440
Space Pirates and Zombies 2,,2014-08-01,http://www.metacritic.com/game/pc/space-pirates-and-zombies-2,http://store.steampowered.com/app/252470
Tumblestone,,2014-08-15,http://www.metacritic.com/game/pc/tumblestone,http://store.steampowered.com/app/269710
"Warhammer 40,000: Kill Team",,2014-05-22,http://www.metacritic.com/game/pc/warhammer-40000-kill-team,http://store.steampowered.com/app/275610
ZAMB! Biomutant Extermination,,2014-04-11,http://www.metacritic.com/game/pc/zamb!-biomutant-extermination,http://store.steampowered.com/app/284580
1001 Spikes,,2014-06-03,http://www.metacritic.com/game/pc/1001-spikes,http://store.steampowered.com/app/260790
Crimzon Clover WORLD IGNITION,,2014-06-06,http://www.metacritic.com/game/pc/crimzon-clover-world-ignition,http://store.steampowered.com/app/285440
Splatter - Blood Red Edition,,2014-06-04,http://www.metacritic.com/game/pc/splatter,http://store.steampowered.com/app/281920
8-Bit Commando,,2014-06-02,http://www.metacritic.com/game/pc/8-bit-commando,http://store.steampowered.com/app/287860
Final Slam 2,,2014-06-12,http://www.metacritic.com/game/pc/final-slam-2,http://store.steampowered.com/app/291330
Woodle Tree Adventures,,2014-06-06,http://www.metacritic.com/game/pc/woodle-tree-adventures,http://store.steampowered.com/app/299460
Super Toy Cars,,2014-06-06,http://www.metacritic.com/game/pc/super-toy-cars,http://store.steampowered.com/app/116100
Enemy Mind,,2014-06-06,http://www.metacritic.com/game/pc/enemy-mind,http://store.steampowered.com/app/285840
World War 2: Time of Wrath,,2014-06-15,http://www.metacritic.com/game/pc/ww2-time-of-wrath,http://store.steampowered.com/app/305390
Chicken Invaders 4,,2014-06-06,http://www.metacritic.com/game/pc/chicken-invaders-4,http://store.steampowered.com/app/301300
Starwhal: Just the Tip,,2014-02-17,http://www.metacritic.com/game/pc/starwhal-just-the-tip,http://store.steampowered.com/app/263020
Monopoly,,2012-11-30,http://www.metacritic.com/game/pc/monopoly-2012,http://store.steampowered.com/app/221300
FaeVerse Alchemy,,2014-04-02,http://www.metacritic.com/game/pc/faeverse-alchemy,http://store.steampowered.com/app/282880
Lara Croft and the Temple of Osiris,,2014-12-09,http://www.metacritic.com/game/pc/lara-croft-and-the-temple-of-osiris,http://store.steampowered.com/app/289690/
Never Alone (Kisima Ingitchuna),,2014-11-18,http://www.metacritic.com/game/pc/never-alone,http://store.steampowered.com/app/295790
Recruits,,2014-07-31,http://www.metacritic.com/game/pc/recruits,http://store.steampowered.com/app/246880
Son of Nor,,2014-07-24,http://www.metacritic.com/game/pc/son-of-nor,http://store.steampowered.com/app/264000
Obludia,,2014-07-18,http://www.metacritic.com/game/pc/obludia,http://store.steampowered.com/app/314290
Robot Rescue Revolution,,2014-07-11,http://www.metacritic.com/game/pc/robot-rescue-revolution,http://store.steampowered.com/app/284200
Pivvot,,2014-07-14,http://www.metacritic.com/game/pc/pivvot,http://store.steampowered.com/app/293900
Bleed,,2014-07-03,http://www.metacritic.com/game/pc/bleed,http://store.steampowered.com/app/239800
Acceleration of Suguri X-Edition,,2014-07-01,http://www.metacritic.com/game/pc/acceleration-of-suguri-x-edition,http://store.steampowered.com/app/265170
Real Boxing,,2014-07-02,http://www.metacritic.com/game/pc/real-boxing,http://store.steampowered.com/app/296770
Retrobooster,,2014-07-11,http://www.metacritic.com/game/pc/retrobooster,http://store.steampowered.com/app/310830
Magic 2015 - Duels of the Planeswalkers,,2014-07-16,http://www.metacritic.com/game/pc/magic-duels-of-the-planeswalkers-2015,http://store.steampowered.com/app/255420
Cannon Brawl,,2014-07-30,http://www.metacritic.com/game/pc/cannon-brawl,http://store.steampowered.com/app/230860
Bounders and Cads,,2013-01-13,http://www.metacritic.com/game/pc/bounders-and-cads,http://store.steampowered.com/app/312020
Super Lemonade Factory,,2012-03-15,http://www.metacritic.com/game/pc/super-lemonade-factory,http://store.steampowered.com/app/307270
Zoo Rampage,,2014-07-09,http://www.metacritic.com/game/pc/zoo-rampage,http://store.steampowered.com/app/312900
Warmachine Tactics,,2014-07-09,http://www.metacritic.com/game/pc/warmachine-tactics,http://store.steampowered.com/app/253510
Crouching Pony Hidden Dragon,,2014-07-11,http://www.metacritic.com/game/pc/crouching-pony-hidden-dragon,http://store.steampowered.com/app/286930
Crawl,,2014-08-06,http://www.metacritic.com/game/pc/crawl,http://store.steampowered.com/app/293780
DieselStormers,,2014-07-17,http://www.metacritic.com/game/pc/dieselstormers,http://store.steampowered.com/app/299480
Screencheat,,2014-10-01,http://www.metacritic.com/game/pc/screencheat,http://store.steampowered.com/app/301970
Crypt of the NecroDancer,,2014-07-30,http://www.metacritic.com/game/pc/crypt-of-the-necrodancer,http://store.steampowered.com/app/247080
Dungeons: The Eye of Draconus,,2014-08-01,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/303510
Mega Coin Squad,,2014-08-15,http://www.metacritic.com/game/pc/mega-coin-squad,http://store.steampowered.com/app/312510
Overruled!,,2014-08-12,http://www.metacritic.com/game/pc/overruled!,http://store.steampowered.com/app/297740
Hangeki,,2014-08-11,http://www.metacritic.com/game/pc/hangeki,http://store.steampowered.com/app/316020
Wyv and Keep: The Temple of the Lost Idol,,2014-08-08,http://www.metacritic.com/game/pc/wyv-and-keep-the-temple-of-the-lost-idol,http://store.steampowered.com/app/263960
Nuclear Throne,,2014-10-11,http://www.metacritic.com/game/pc/nuclear-throne,http://store.steampowered.com/app/242680
Mount Your Friends,,2014-07-29,http://www.metacritic.com/game/pc/mount-your-friends,http://store.steampowered.com/app/296470/
Platypus,,2014-06-02,http://www.metacritic.com/game/pc/platypus,http://store.steampowered.com/app/307340
Heavy Fire: Afghanistan,,2014-08-15,http://www.metacritic.com/game/pc/heavy-fire-afghanistan,http://store.steampowered.com/app/305980
Psichodelya,,2014-08-08,http://www.metacritic.com/game/pc/psichodelya,http://store.steampowered.com/app/301680
Max Gentlemen,,2014-08-21,http://www.metacritic.com/game/ios/max-gentlemen,http://store.steampowered.com/app/257710
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burs,,2013-10-23,http://www.metacritic.com/game/pc/naruto-shippuden-ultimate-ninja-storm-3-full-burst,http://store.steampowered.com/app/234670
Gentlemen!,,2013-11-05,http://www.metacritic.com/game/pc/gentlemen!,http://store.steampowered.com/app/253570
Riptide GP2,,2013-11-20,http://www.metacritic.com/game/pc/riptide-gp2/critic-reviews,http://store.steampowered.com/app/257790
Gang Beasts,,2014-08-29,http://www.metacritic.com/game/pc/gang-beasts,http://store.steampowered.com/app/285900
Critter Crunch,,2012-09-11,http://www.metacritic.com/game/pc/critter-crunch,http://store.steampowered.com/app/61730
Ultratron,,2013-03-18,http://www.metacritic.com/game/pc/ultratron,http://store.steampowered.com/app/219190
Hero Siege,,2013-12-18,http://www.metacritic.com/game/pc/hero-siege,http://store.steampowered.com/app/269210
Iron Fisticle,,2014-09-16,http://www.metacritic.com/game/pc/iron-fisticle,http://store.steampowered.com/app/306700
The Binding of Isaac Rebirth,,2014-11-04,http://www.metacritic.com/game/pc/the-binding-of-isaac-rebirth,http://store.steampowered.com/app/250900
Road Redemption,,2014-09-18,http://www.metacritic.com/game/pc/road-redemption,http://store.steampowered.com/app/300380/
Space Farmers,,2014-04-17,http://www.metacritic.com/game/pc/space-farmers,http://store.steampowered.com/app/271570
Over 9000 Zombies!,,2014-07-02,http://www.metacritic.com/game/pc/over-9000-zombies!,http://store.steampowered.com/app/273500
Serious Sam Classics: Revolution,,2014-04-30,http://www.metacritic.com/game/pc/serious-sam-classics-revolution,http://store.steampowered.com/app/227780
The Masterplan,,2014-09-15,http://www.metacritic.com/game/pc/the-masterplan,http://store.steampowered.com/app/313080
PAC-MAN™ and the Ghostly Adventures,,2013-10-29,http://www.metacritic.com/game/pc/pac-man-and-the-ghostly-adventures,http://store.steampowered.com/app/239720
Droid Assault,,2008-05-02,http://www.metacritic.com/game/pc/droid-assault,http://store.steampowered.com/app/219200
Raiden III Digital Edition,,2014-09-25,http://www.metacritic.com/game/pc/raiden-iii,http://store.steampowered.com/app/315670/?snr=1_7_7_230_150_1
PARTICLE MACE,,2014-09-30,http://www.metacritic.com/game/pc/particle-mace,http://store.steampowered.com/app/295690/?snr=1_7_7_230_150_1
Worlds of Magic,,2014-09-11,http://www.metacritic.com/game/pc/worlds-of-magic,http://store.steampowered.com/app/265970/?snr=1_7_7_230_150_1
Platypus II,,2014-03-17,http://www.metacritic.com/game/pc/platypus-ii,http://store.steampowered.com/app/319180/?snr=1_7_7_230_150_3
Darkstone,,2014-07-01,http://www.metacritic.com/game/pc/darkstone,http://store.steampowered.com/app/320320/?snr=1_7_7_230_150_1
911: First Responders,,2014-04-13,http://www.metacritic.com/game/pc/911-first-responders,http://store.steampowered.com/app/323610/?snr=1_7_7_230_150_1
Super Chain Crusher Horizon,,2014-10-02,http://www.metacritic.com/game/pc/super-chain-crusher-horizon,http://store.steampowered.com/app/262920/?snr=1_7_7_230_150_1
Shadow Puppeteer,,2014-09-29,http://www.metacritic.com/game/pc/shadow-puppeteer,http://store.steampowered.com/app/316480
Moto Racer Collection,,2014-11-30,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/324110/
Metal Slug X,,2014-10-02,http://www.metacritic.com/game/pc/metal-slug-x,http://store.steampowered.com/app/312610/
Cavern Kings,,2014-09-30,http://www.metacritic.com/game/pc/cavern-kings,http://pccouchcoop.com/store.steampowered.com/app/321830/
The Chronicles of Narnia - Prince Caspian,,2008-05-15,http://www.metacritic.com/game/pc/the-chronicles-of-narnia-prince-caspian,http://store.steampowered.com/app/320890
Boot Hill Heroes,,2014-10-10,http://www.metacritic.com/game/pc/boot-hill-heroes,http://store.steampowered.com/app/313470/?snr=1_7_7_230_150_1
Future Wars,,2010-04-07,http://www.metacritic.com/game/pc/future-wars,http://store.steampowered.com/app/46440/
Jamsouls,,2014-08-21,http://www.metacritic.com/game/pc/jamsouls,http://store.steampowered.com/app/314460
LEGO Star Wars: The Complete Saga,,2009-11-12,http://www.metacritic.com/game/pc/lego-star-wars-the-complete-saga,http://store.steampowered.com/app/32440/
Nation Red,,2009-07-23,http://www.metacritic.com/game/pc/nation-red,http://store.steampowered.com/app/39800/
Cloudy with a Chance of Meatballs,,2009-10-01,http://www.metacritic.com/game/pc/cloudy-with-a-chance-of-meatballs,http://store.steampowered.com/app/33270/
Swarm Arena,,2010-08-19,http://www.metacritic.com/game/pc/swarm-arena,http://store.steampowered.com/app/46600/
Dungeon Defenders,,2011-03-31,http://www.metacritic.com/game/pc/dungeon-defenders,http://store.steampowered.com/app/65800/
Magnetis,,2009-11-05,http://www.metacritic.com/game/pc/magnetis,http://store.steampowered.com/app/37500/
Flight Control HD,,2010-11-18,http://www.metacritic.com/game/pc/flight-control-hd,http://store.steampowered.com/app/62000/
ProtoGalaxy,,2010-10-06,http://www.metacritic.com/game/pc/protogalaxy,http://store.steampowered.com/app/60600/
Blue Toad Murder Files: The Mysteries of Little Ri,,2010-12-03,http://www.metacritic.com/game/pc/blue-toad-murder-files-the-mysteries-of-little-riddle,http://store.steampowered.com/app/90400/
Crash Time II,,2009-08-27,http://www.metacritic.com/game/pc/crash-time-ii,http://store.steampowered.com/app/11390/
BlazBlue Calamity Trigger,,2010-09-02,http://www.metacritic.com/game/pc/blazblue-calamity-trigger,
Gumboy Tournament,,2008-05-19,http://www.metacritic.com/game/pc/gumboy-tournament,http://store.steampowered.com/app/11230
Switchfire,,2006-12-31,,
Atom Zombie Smasher,,2011-03-14,http://www.metacritic.com/game/pc/atom-zombie-smasher,http://store.steampowered.com/app/55040/
Dynasty Warriors 6,,2008-11-18,http://www.metacritic.com/game/pc/dynasty-warriors-6,
Streets of Rage,,2011-01-26,http://www.metacritic.com/game/pc/streets-of-rage,
Streets of Rage 2,,2011-01-26,http://www.metacritic.com/game/pc/streets-of-rage-2,
Super Mario War,,2005-11-21,,
BUTTON (Brutally Unfair Tactics Totally OK Now),,2011-02-28,http://www.metacritic.com/game/pc/brutally-unfair-tactics-totally-ok-now-button,http://store.steampowered.com/app/92400/
Hammerfight,,2009-09-18,,http://store.steampowered.com/app/41100/
Vanguard Princess,,2009-06-07,,
Billy Hatcher and the Giant Egg,,2006-03-30,http://search.metacritic.com/games/platforms/pc/billyhatcherandthegiantegg,
Mashed: Drive to Survive,,2008-06-17,http://www.metacritic.com/game/pc/mashed-drive-to-survive/details,http://store.steampowered.com/app/281280/?snr=1_237_237__103
Assault Heroes,,2007-10-23,http://www.metacritic.com/game/pc/assault-heroes,
Doom,,1993-12-10,http://www.metacritic.com/game/pc,
Skullgirls,,2013-08-22,http://www.metacritic.com/game/pc/skullgirls,http://store.steampowered.com/app/245170
Cobalt,,2013-08-29,http://www.metacritic.com/game/pc/cobalt,
Home Sheep Home 2,,2011-12-08,http://www.metacritic.com/game/pc/home-sheep-home-2,http://pccouchcoop.com/store.steampowered.com/app/259810
Double Dragon Neon,,2014-02-06,http://www.metacritic.com/game/pc/double-dragon-neon,http://store.steampowered.com/app/252350
Secret Ponchos,,2014-06-30,http://www.metacritic.com/game/pc/secret-ponchos/trailers/4194567,http://store.steampowered.com/app/265750
Joe Danger,,2014-06-24,http://www.metacritic.com/game/pc/joe-danger,http://store.steampowered.com/app/229890
Cheesecake Cool Conrad,,2014-10-08,http://www.metacritic.com/game/pc/cheesecake-cool-conrad,http://store.steampowered.com/app/327210
